Kit Name,Kit Link,Kit Photo,forma_tur
1999-00 Malaga Home Shirt (Very Good) L,https://www.classicfootballshirts.co.uk/1999-00-malaga-home-shirt-very-good-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/m/a/malaga-00-home_2_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2010-11 Real Madrid Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2010-11-real-madrid-home-shirt-excellent-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/r/e/real-madrid-10-home-use_1_9_1_1_1_1_1_1_2_2_2_1_1_1_2_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2010-11 Barcelona Away Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2010-11-barcelona-away-shirt-excellent-l-960145.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/b/a/barcelona-10-away_8.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2009-10 Atletico Madrid Home Shirt *w/Tags* L,https://www.classicfootballshirts.co.uk/2009-10-atletico-madrid-home-shirt-w-tags-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/a/t/atletico-09-home_3.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2000-01 Tenerife Away Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2000-01-tenerife-away-shirt-excellent-l-962013.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/t/e/tenerife-00-away_2_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2010-11 Barcelona Home Shirt (Very Good) L,https://www.classicfootballshirts.co.uk/2010-11-barcelona-home-shirt-very-good-l-963647.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/b/a/barcelona-10-home-use_5_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
1994-95 Real Betis Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1994-95-real-betis-home-shirt-good-l-960048.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/b/e/betis-94-home_4_1_1_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
1997-98 Atletico Madrid Home Shirt (Very Good) L,https://www.classicfootballshirts.co.uk/1997-98-atletico-madrid-home-shirt-very-good-l-932130.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/a/t/atletico-97-home_1_4_2_1_1_1_2_1_1__1_3_3_2_1_1_1_2_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2005-06 Barcelona Away Shirt (Very Good) L,https://www.classicfootballshirts.co.uk/2005-06-barcelona-away-shirt-very-good-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/b/a/barcelona-05-away-_1_3_1_2_2_1_1_1_2_2_1_1_1_1_1_2_1_1_2_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2021-22 Deportivo Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/2021-22-deportivo-home-shirt-bnib.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/d/e/deportivo-21-home-tags.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
